               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053864,            0.038347,            0.018077,             0.59248,             0.14642,             0.13625,            0.058681,            0.058324,            0.032616,            0.033946,            0.007624,            0.007624,            0.007624
                  38,            0.051021,            0.036818,            0.016661,             0.62431,             0.15401,              0.1663,            0.072345,            0.055418,            0.034058,             0.03545,            0.007558,            0.007558,            0.007558
                  39,             0.05246,            0.041524,            0.014336,             0.51991,             0.18333,             0.19678,            0.073433,            0.056176,            0.032173,            0.033066,            0.007492,            0.007492,            0.007492
                  40,            0.048429,             0.03661,            0.015886,             0.53739,              0.1836,              0.1853,            0.080669,            0.054584,            0.032936,             0.03451,            0.007426,            0.007426,            0.007426
                  41,             0.04939,            0.036607,            0.017716,             0.62615,             0.16304,              0.2012,            0.084538,            0.055375,            0.032196,            0.033957,             0.00736,             0.00736,             0.00736
                  42,            0.049402,            0.037927,            0.015323,             0.51907,             0.17857,             0.19183,            0.078529,            0.056989,            0.032837,            0.035909,            0.007294,            0.007294,            0.007294
                  43,            0.048343,            0.037156,            0.014007,             0.43749,             0.20247,             0.17629,            0.071806,            0.056777,            0.032219,            0.035699,            0.007228,            0.007228,            0.007228
                  44,            0.048357,            0.037239,            0.014235,             0.43504,             0.18913,             0.17188,            0.076027,            0.059004,            0.032623,            0.035517,            0.007162,            0.007162,            0.007162
                  45,            0.048126,            0.035787,            0.014646,             0.41275,             0.20337,              0.1703,            0.066996,            0.059217,            0.033592,            0.035815,            0.007096,            0.007096,            0.007096
                  46,            0.048323,            0.037275,            0.013375,             0.55467,              0.1716,             0.17948,            0.065832,            0.058447,             0.03479,            0.034643,             0.00703,             0.00703,             0.00703
                  47,            0.048393,            0.037596,            0.013725,             0.53785,             0.18459,             0.19225,            0.073512,            0.058882,            0.033714,            0.033763,            0.006964,            0.006964,            0.006964
                  48,            0.047358,            0.037259,             0.01388,             0.49012,             0.20716,             0.18209,            0.074535,            0.056969,            0.034042,            0.034587,            0.006898,            0.006898,            0.006898
                  49,            0.047922,            0.040973,            0.012567,             0.68055,              0.1502,             0.17274,            0.078389,             0.05759,            0.033897,            0.034466,            0.006832,            0.006832,            0.006832
                  50,            0.046819,            0.035579,            0.012443,             0.41937,             0.23616,             0.18997,            0.079196,            0.058071,            0.033829,            0.033365,            0.006766,            0.006766,            0.006766
                  51,            0.047641,            0.042163,             0.01228,             0.45769,             0.21995,             0.20246,            0.082243,            0.055768,            0.034058,            0.033105,              0.0067,              0.0067,              0.0067
                  52,            0.046518,            0.035616,             0.01142,             0.70416,             0.16706,             0.20253,            0.082441,            0.058369,            0.034744,            0.032209,            0.006634,            0.006634,            0.006634
                  53,            0.045213,            0.036856,            0.012237,              0.4653,             0.21004,             0.19613,            0.084586,            0.055684,            0.035179,            0.032154,            0.006568,            0.006568,            0.006568
                  54,            0.045228,            0.036679,            0.011136,             0.50646,             0.20317,             0.19901,            0.078971,            0.055441,            0.033768,            0.032767,            0.006502,            0.006502,            0.006502
                  55,             0.04494,            0.038533,            0.011766,             0.58305,             0.23078,             0.23149,             0.10033,            0.055604,            0.034042,            0.032292,            0.006436,            0.006436,            0.006436
                  56,            0.044384,            0.033609,            0.011295,             0.80264,             0.13899,             0.18136,            0.074474,            0.057596,            0.034607,            0.032496,             0.00637,             0.00637,             0.00637
                  57,            0.045049,            0.034552,            0.012269,             0.70489,             0.16115,             0.20327,            0.082117,            0.055697,            0.034729,            0.031993,            0.006304,            0.006304,            0.006304
                  58,            0.045223,            0.038401,             0.01153,             0.37325,             0.27457,             0.19599,            0.079478,            0.056729,            0.034264,            0.031296,            0.006238,            0.006238,            0.006238
                  59,            0.045243,            0.037795,             0.01019,             0.55281,              0.1785,             0.21313,            0.095334,            0.058489,            0.033783,            0.030876,            0.006172,            0.006172,            0.006172
                  60,            0.043133,            0.032587,            0.011624,             0.68636,             0.18166,             0.21993,            0.095525,            0.053894,            0.035118,            0.030218,            0.006106,            0.006106,            0.006106
                  61,            0.043544,            0.030567,             0.01148,             0.66625,               0.203,             0.22824,             0.10956,            0.051268,            0.035698,            0.029864,             0.00604,             0.00604,             0.00604
                  62,            0.043462,             0.03542,            0.010594,             0.76906,             0.20143,             0.22419,             0.10845,            0.051726,            0.035492,            0.030267,            0.005974,            0.005974,            0.005974
                  63,            0.044326,            0.034438,           0.0097309,             0.61291,             0.18417,             0.20224,              0.1029,            0.051676,            0.035995,            0.030444,            0.005908,            0.005908,            0.005908
                  64,            0.043969,            0.035012,           0.0096826,             0.45365,             0.23391,             0.22239,             0.10668,            0.051129,            0.035095,            0.030068,            0.005842,            0.005842,            0.005842
                  65,            0.041411,            0.032337,            0.010326,             0.50118,              0.2378,             0.23106,             0.10404,            0.052694,            0.034683,            0.029814,            0.005776,            0.005776,            0.005776
                  66,            0.041842,            0.031512,            0.010311,             0.48695,             0.23634,             0.20905,            0.089455,            0.053748,            0.034843,            0.029947,             0.00571,             0.00571,             0.00571
                  67,            0.043073,            0.034547,           0.0094066,             0.61809,             0.19682,                0.21,            0.094779,            0.054246,            0.034859,             0.02988,            0.005644,            0.005644,            0.005644
                  68,            0.041671,            0.034168,            0.010478,             0.49013,             0.24192,             0.22917,            0.098227,            0.054609,            0.034851,            0.030334,            0.005578,            0.005578,            0.005578
                  69,            0.040973,             0.03158,            0.010434,              0.6604,             0.18314,             0.20337,            0.096172,            0.055501,            0.034866,             0.02998,            0.005512,            0.005512,            0.005512
                  70,            0.040659,            0.033875,           0.0091796,             0.55277,             0.21798,             0.22466,            0.096398,             0.05421,            0.035316,            0.030793,            0.005446,            0.005446,            0.005446
                  71,             0.04202,            0.034443,           0.0085668,             0.58122,             0.20998,             0.21494,            0.099423,            0.054933,            0.035622,            0.031186,             0.00538,             0.00538,             0.00538
                  72,            0.040892,            0.032372,           0.0097482,             0.63006,             0.21664,             0.22115,             0.10669,            0.055537,            0.036896,            0.030854,            0.005314,            0.005314,            0.005314
                  73,            0.041368,            0.035634,           0.0096075,             0.54449,             0.19476,             0.20885,            0.099781,            0.055075,            0.036171,            0.030887,            0.005248,            0.005248,            0.005248
                  74,            0.041083,            0.033597,           0.0095867,             0.61032,             0.17537,             0.20294,            0.098188,            0.056924,            0.037415,            0.030583,            0.005182,            0.005182,            0.005182
                  75,            0.041421,             0.03465,           0.0094464,             0.67481,             0.18717,             0.20951,               0.103,            0.054562,            0.038033,            0.031075,            0.005116,            0.005116,            0.005116
                  76,             0.04108,              0.0344,           0.0088433,             0.74662,             0.16982,             0.20843,             0.09494,            0.055159,            0.038277,            0.030638,             0.00505,             0.00505,             0.00505
