                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4991,                 1.5012,                 1.1104,                0.54998,                0.22752,                0.25708,                0.13576,                 1.8345,                 1.9344,                 1.3208,             0.00021384,             0.00021384,             0.00021384
                     35,                 1.4561,                 1.4322,                  1.083,                 0.5338,                0.25083,                0.27347,                 0.1432,                 1.8376,                 1.9761,                 1.3393,             0.00021074,             0.00021074,             0.00021074
                     36,                 1.4459,                  1.501,                 1.0902,                0.58094,                0.21536,                0.27568,                0.14312,                 1.8587,                 1.8945,                 1.3634,             0.00020764,             0.00020764,             0.00020764
                     37,                 1.4416,                 1.3725,                 1.0889,                0.69309,                0.22052,                0.29002,                0.15345,                 1.8463,                  1.899,                 1.3569,             0.00020455,             0.00020455,             0.00020455
                     38,                 1.4432,                 1.4558,                 1.0914,                0.66906,                0.23867,                 0.3016,                0.16487,                 1.8154,                  1.865,                 1.3488,             0.00020145,             0.00020145,             0.00020145
                     39,                 1.4345,                 1.3893,                 1.0964,                0.53573,                0.26026,                0.28709,                0.15466,                 1.8453,                 1.9267,                 1.3544,             0.00019835,             0.00019835,             0.00019835
                     40,                  1.444,                 1.3883,                 1.0876,                0.51991,                0.23994,                0.26616,                0.14185,                 1.8512,                 1.9638,                 1.3555,             0.00019525,             0.00019525,             0.00019525
                     41,                 1.4306,                 1.4297,                 1.0774,                0.47619,                0.24136,                0.27204,                0.14559,                 1.8521,                 1.9766,                 1.3624,             0.00019215,             0.00019215,             0.00019215
                     42,                 1.4196,                 1.3442,                 1.0799,                0.49101,                0.23917,                 0.2765,                0.14696,                 1.8674,                 2.0584,                 1.3554,             0.00018905,             0.00018905,             0.00018905
                     43,                 1.3972,                 1.3191,                 1.0584,                0.44186,                0.26049,                0.28719,                0.14768,                  1.922,                 2.0792,                 1.3701,             0.00018595,             0.00018595,             0.00018595
                     44,                 1.4414,                   1.34,                 1.0664,                0.45652,                0.23515,                0.29193,                0.15124,                  1.858,                 1.9919,                 1.3381,             0.00018285,             0.00018285,             0.00018285
                     45,                 1.4003,                 1.2927,                 1.0714,                0.54153,                0.23775,                0.32528,                0.16646,                   1.83,                  1.919,                 1.3331,             0.00017976,             0.00017976,             0.00017976
                     46,                 1.4235,                 1.3239,                 1.0984,                0.54716,                0.23641,                0.31948,                0.16732,                 1.8674,                 1.9163,                 1.3741,             0.00017666,             0.00017666,             0.00017666
                     47,                 1.4132,                 1.2903,                 1.0781,                 0.4782,                 0.2524,                0.31484,                0.17094,                 1.8181,                  1.901,                  1.356,             0.00017356,             0.00017356,             0.00017356
                     48,                 1.4096,                 1.2637,                 1.0789,                0.55234,                0.25672,                0.30644,                0.17264,                 1.7998,                 2.0058,                 1.3507,             0.00017046,             0.00017046,             0.00017046
                     49,                 1.3528,                  1.224,                 1.0476,                0.62029,                0.26134,                0.31809,                0.17427,                 1.7788,                 2.0327,                 1.3492,             0.00016736,             0.00016736,             0.00016736
                     50,                 1.3466,                  1.316,                 1.0695,                0.58432,                0.22493,                0.30151,                0.15384,                 1.7891,                 2.0591,                 1.3597,             0.00016426,             0.00016426,             0.00016426
                     51,                 1.3538,                  1.365,                 1.0699,                0.55896,                0.22772,                 0.2933,                0.14872,                 1.8193,                 2.0144,                 1.3892,             0.00016116,             0.00016116,             0.00016116
                     52,                  1.347,                 1.2468,                   1.05,                0.49926,                0.23252,                0.29171,                0.15619,                 1.8552,                 2.0351,                 1.4095,             0.00015807,             0.00015807,             0.00015807
                     53,                 1.3506,                 1.2457,                 1.0525,                0.53559,                0.24176,                0.29633,                0.15878,                 1.8399,                 1.9735,                 1.4023,             0.00015497,             0.00015497,             0.00015497
                     54,                 1.3655,                 1.2067,                 1.0693,                0.55252,                 0.2275,                0.29819,                0.16378,                 1.8311,                 1.9078,                 1.3986,             0.00015187,             0.00015187,             0.00015187
                     55,                 1.3748,                 1.2076,                   1.06,                0.57244,                0.22351,                0.28441,                0.16147,                 1.8514,                 1.9423,                 1.4145,             0.00014877,             0.00014877,             0.00014877
                     56,                 1.3645,                 1.1699,                 1.0446,                0.59218,                0.21789,                0.27936,                0.15938,                 1.8938,                 1.9618,                 1.4463,             0.00014567,             0.00014567,             0.00014567
                     57,                 1.3226,                 1.1856,                 1.0487,                0.62825,                0.20178,                 0.2786,                 0.1571,                  1.896,                 1.9153,                 1.4351,             0.00014257,             0.00014257,             0.00014257
                     58,                 1.3314,                 1.1489,                 1.0278,                 0.7309,                0.19066,                0.27602,                0.15113,                 1.9114,                 1.9951,                 1.4446,             0.00013947,             0.00013947,             0.00013947
                     59,                 1.3595,                 1.2088,                 1.0578,                0.53485,                0.19321,                0.26502,                0.14425,                 1.8672,                 2.0245,                 1.4342,             0.00013637,             0.00013637,             0.00013637
                     60,                 1.3672,                 1.1992,                 1.0533,                0.63114,                0.19185,                0.28121,                0.15555,                 1.7985,                 1.9467,                 1.3985,             0.00013328,             0.00013328,             0.00013328
                     61,                 1.3466,                 1.1726,                  1.045,                0.57427,                0.19242,                 0.2838,                0.15973,                 1.7742,                  1.904,                 1.3801,             0.00013018,             0.00013018,             0.00013018
                     62,                 1.3611,                 1.1635,                 1.0372,                 0.3221,                0.30502,                0.30378,                0.16283,                 1.7964,                 1.9007,                 1.3822,             0.00012708,             0.00012708,             0.00012708
                     63,                 1.3472,                 1.1395,                 1.0391,                0.42662,                0.22415,                0.29812,                0.15775,                 1.8097,                 1.9053,                 1.3772,             0.00012398,             0.00012398,             0.00012398
                     64,                 1.3018,                 1.1433,                 1.0293,                0.44947,                0.23973,                0.30467,                 0.1619,                 1.8143,                 1.9124,                 1.3707,             0.00012088,             0.00012088,             0.00012088
                     65,                 1.3146,                 1.1864,                  1.045,                0.51155,                0.22027,                0.31119,                0.16876,                 1.8155,                 1.8523,                 1.3674,             0.00011778,             0.00011778,             0.00011778
                     66,                  1.287,                 1.1591,                 1.0341,                0.75262,                0.19822,                0.30753,                0.16658,                 1.8227,                 1.8809,                 1.3634,             0.00011468,             0.00011468,             0.00011468
                     67,                  1.299,                 1.1152,                 1.0181,                0.65158,                0.21767,                 0.3088,                0.16796,                 1.8229,                 1.8458,                 1.3634,             0.00011158,             0.00011158,             0.00011158
                     68,                 1.3089,                 1.1282,                 1.0311,                0.58227,                0.22711,                0.30892,                0.16372,                 1.8195,                 1.8682,                 1.3627,             0.00010849,             0.00010849,             0.00010849
                     69,                 1.3004,                 1.1234,                 1.0322,                0.60745,                0.21497,                0.30829,                0.16468,                 1.8386,                 1.8909,                 1.3688,             0.00010539,             0.00010539,             0.00010539
                     70,                 1.3461,                  1.105,                 1.0286,                0.51932,                0.23078,                0.30731,                0.15868,                 1.8492,                 1.8521,                 1.3731,             0.00010229,             0.00010229,             0.00010229
                     71,                 1.3073,                 1.1217,                 1.0308,                0.53549,                0.22123,                0.29782,                0.15764,                  1.834,                 1.8233,                 1.3629,              9.919e-05,              9.919e-05,              9.919e-05
                     72,                  1.267,                 1.0509,                 1.0122,                 0.5316,                0.20534,                0.29274,                0.15721,                 1.8444,                 1.8293,                 1.3737,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     73,                  1.259,                 1.1076,                 1.0291,                0.51402,                0.21595,                 0.2962,                 0.1585,                 1.8416,                 1.8047,                 1.3784,             9.2992e-05,             9.2992e-05,             9.2992e-05
                     74,                 1.3412,                  1.092,                 1.0169,                0.48907,                0.23249,                0.29699,                 0.1584,                  1.841,                 1.8075,                 1.3852,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     75,                 1.2492,                 1.0645,                 1.0027,                0.48967,                0.23448,                0.31057,                0.16352,                 1.8429,                 1.8081,                 1.3775,             8.6795e-05,             8.6795e-05,             8.6795e-05
                     76,                 1.2942,                 1.0692,                 1.0184,                0.50974,                0.22797,                0.32505,                0.17394,                 1.8318,                  1.806,                 1.3742,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     77,                 1.2531,                 1.0768,                  1.013,                0.51659,                0.24654,                 0.3252,                 0.1742,                 1.8286,                 1.7992,                 1.3789,             8.0598e-05,             8.0598e-05,             8.0598e-05
